time_sec,left_ticks,right_ticks,delta_left_ticks,delta_right_ticks,delta_left_m,delta_right_m,delta_theta_rad,imu_theta_rad,heading_source,x_m,y_m,theta_rad
1781186902.5144193,-353,-378,0,0,0.0,0.0,0.0,,fused,0.0,0.0,-1.5708
1781186927.7131984,-353,-379,0,-1,0.0,-0.0014585965891666898,-0.007676824153508894,-1.5747892941713333,fused,1.5918357824889525e-06,0.0007292965573352289,-1.5751580471695505
1781186928.1141152,-355,-379,-2,0,-0.0029171931783333795,0.0,0.015353648307017787,-1.6421723450899124,fused,5.081081374003061e-05,0.0021870624857810534,-1.6339355504671744
1781186928.7672143,-356,-379,-1,0,-0.0014585965891666898,0.0,0.007676824153508894,-1.5689599152088165,fused,7.524965201201449e-05,0.0029159511917342265,-1.5746897963193012
1781186929.1133795,-365,-379,-9,0,-0.013127369302500205,0.0,0.06909141738158003,-1.610538267660141,fused,0.00018400959434900963,0.00947873470759082,-1.6000442787878992
1781186929.5162098,-371,-379,-6,0,-0.008751579535000139,0.0,0.04606094492105336,-1.553408214020729,fused,0.00021008335177924266,0.013854446792329916,-1.5534657260053408
1781186930.0133245,-376,-382,-5,-3,-0.007292982945833449,-0.004375789767500069,0.015353648307017787,-1.6125903065681457,fused,0.00025972041713767245,0.019688621997155514,-1.6051424836811634
1781186930.4685705,-377,-382,-1,0,-0.0014585965891666898,0.0,0.007676824153508894,-1.5996032293319702,fused,0.0002826673921197774,0.020417559195288072,-1.5993894723515387
1781186930.9142463,-383,-384,-6,-2,-0.008751579535000139,-0.0029171931783333795,0.030707296614035574,-1.5900367136478424,fused,0.00041596591590453724,0.02625042261409157,-1.5879012598568083
1781186931.8134086,-383,-385,0,-1,0.0,-0.0014585965891666898,-0.007676824153508894,-1.6039304222345352,fused,0.00043397913548124496,0.02697949841701103,-1.6030951884121132
1781186932.2136037,-385,-390,-2,-5,-0.0029171931783333795,-0.007292982945833449,-0.02303047246052668,-1.6184307719945907,fused,0.0006399206774458652,0.03208043090067711,-1.6192002608823954
1781186938.113297,-385,-391,0,-1,0.0,-0.0014585965891666898,-0.007676824153508894,-1.6231794442415237,fused,0.0006767916988860613,0.03280879655765177,-1.6235492083209617
1781186938.8157587,-410,-422,-25,-31,-0.03646491472916724,-0.04521649426416738,-0.04606094492105335,-1.6655443693876266,fused,0.003694362649069536,0.07353786982656756,-1.6659509477730656
1781186943.0131128,-410,-423,0,-1,0.0,-0.0014585965891666898,-0.007676824153508894,-1.6582767452478409,fused,0.0037614252624651166,0.07426407820462906,-1.659811847915714
1781186945.3647528,-413,-423,-3,0,-0.004375789767500069,0.0,0.02303047246052668,-1.63243190305233,fused,0.003926548297254533,0.07644573317407806,-1.6328668502926156
1781186946.1632829,-417,-431,-4,-8,-0.005834386356666759,-0.011668772713333518,-0.030707296614035574,-1.534920090007782,fused,0.004097454434741157,0.08519564377074147,-1.5477854956976689
1781186946.771073,-417,-439,0,-8,0.0,-0.011668772713333518,-0.06141459322807115,-1.5027192990660667,fused,0.0038628593180532146,0.09102531179646003,-1.5133673780520343
1781186947.5045118,-417,-441,0,-2,0.0,-0.0029171931783333795,-0.015353648307017787,-1.5200540284991264,fused,0.0037846398340112847,0.09248180955555371,-1.520920728285119
1781186948.413293,-417,-442,0,-1,0.0,-0.0014585965891666898,-0.007676824153508894,-1.5167732696413994,fused,0.003747200912847168,0.09321014624257713,-1.5179556979211224
1781186948.9635093,-417,-443,0,-1,0.0,-0.0014585965891666898,-0.007676824153508894,-1.518327177631855,fused,0.0037090835564974178,0.09393844773895557,-1.5190577120761326
1781186949.5635078,-417,-444,0,-1,0.0,-0.0014585965891666898,-0.007676824153508894,-1.5174374218463897,fused,0.0036711160254486535,0.09466675706133737,-1.518367133284715
1781186950.1579974,-417,-445,0,-1,0.0,-0.0014585965891666898,-0.007676824153508894,-1.5223188112854957,fused,0.003634471753744522,0.09539513416135731,-1.5226913259007684
1781186950.870316,-417,-446,0,-1,0.0,-0.0014585965891666898,-0.007676824153508894,-1.5015911023497581,fused,0.0035927667963134165,0.0961232390294964,-1.50446880712021
1781186951.413368,-418,-446,-1,0,-0.0014585965891666898,0.0,0.007676824153508894,-1.5291636075258255,fused,0.003552239645937223,0.09685141040531707,-1.525926445069913
1781186964.6134105,-419,-447,-1,-1,-0.0014585965891666898,-0.0014585965891666898,0.0,-1.530640178489685,fused,0.0034899055249455594,0.09830867444017448,-1.5301688051477076
1781186965.0134299,-458,-486,-39,-39,-0.056885266977500897,-0.056885266977500897,0.0,-1.5237855698347091,fused,0.0010161780124498016,0.15514012938631744,-1.524423893366009
1781186965.466824,-539,-567,-81,-81,-0.11814632372250188,-0.11814632372250188,0.0,-1.5145446370720863,fused,-0.004985209679839569,0.2731339307273584,-1.5155325627014786
1781186965.9167492,-597,-620,-58,-53,-0.08459860217166801,-0.07730561922583455,0.03838412076754451,-1.5487101759195327,fused,-0.008404665107775133,0.3540137894757467,-1.5415540025209726
1781186966.381284,-608,-633,-11,-13,-0.016044562480833587,-0.018961755659166968,-0.015353648307017796,-1.5542081083536148,fused,-0.008803357736278982,0.3715124071816602,-1.5544780626010526
1781186966.7384913,-608,-634,0,-1,0.0,-0.0014585965891666898,-0.007676824153508894,-1.5537517900943756,fused,-0.008815216512324787,0.3722416090548838,-1.554592099760394
