time_sec,left_ticks,right_ticks,delta_left_ticks,delta_right_ticks,delta_left_m,delta_right_m,delta_theta_rad,imu_theta_rad,heading_source,x_m,y_m,theta_rad
1780907421.2284002,9,4,0,0,0.0,0.0,0.0,,fused,0.0,0.0,-1.5708
1780907421.528438,9,5,0,1,0.0,0.0014585965891666898,0.007676824153508894,-1.5377994115829468,fused,1.110709923635415e-05,-0.0007292137099840684,-1.5403317880093015
1780907437.778484,8,3,-1,-2,-0.0014585965891666898,-0.0029171931783333795,-0.007676824153508894,-1.5490793521881103,fused,-4.6087351033154145e-05,0.0014579334769235586,-1.5489722781855804
1780907438.180403,2,-4,-6,-7,-0.008751579535000139,-0.010210176124166827,-0.007676824153508889,-1.5437399979114532,fused,-0.0002716610249299427,0.010936127447144485,-1.5450309083542169
1780907438.6141832,-42,-49,-44,-45,-0.06417824992333435,-0.06563684651250104,-0.007676824153508916,-1.5286776061534881,fused,-0.0023963910647791017,0.07580889012855857,-1.5310806187889117
1780907439.0256891,-135,-138,-93,-89,-0.13564948279250214,-0.12981509643583536,0.030707296614035665,-1.5770348395586014,fused,-0.005126723802211712,0.20851309499548235,-1.5693686878202289
1780907439.450039,-258,-265,-123,-127,-0.17940738046750285,-0.1852417668241696,-0.03070729661403552,-1.5310227210998535,fused,-0.008253064923109352,0.3908108627995115,-1.5379280474332946
1780907439.861699,-350,-355,-92,-90,-0.13419088620333544,-0.13127369302500208,0.015353648307017687,-1.5422208543300628,fused,-0.012460530860658358,0.5234764496583648,-1.540256208809684
1780907440.2656746,-367,-370,-17,-15,-0.024796142015833723,-0.021878948837500346,0.015353648307017779,-1.5593994791984558,fused,-0.012990091995078801,0.5468079860746975,-1.5559497873288768
1780907440.7288067,-363,-373,4,-3,0.005834386356666759,-0.004375789767500069,-0.05373776907456225,-1.6443201090574264,fused,-0.013010223171173627,0.5460789656783908,-1.6408568537920278
1780907441.1284223,-327,-428,36,-55,0.05250947721000082,-0.08022281240416794,-0.6985909979693093,-2.4959261949539187,fused,-0.006491713216529762,0.5583066500408231,-2.4802783606346606
1780907441.578527,-317,-451,10,-23,0.014585965891666898,-0.03354772155083386,-0.2533351970657935,-3.041037970352173,fused,0.0022543333466300284,0.5619663923725357,-3.010295529087001
1780907442.02904,-314,-455,3,-4,0.004375789767500069,-0.005834386356666759,-0.05373776907456225,3.139641176091329,fused,0.0029819138711130997,0.562016418194619,-3.1355930477955876
1780907443.5289533,-315,-456,-1,-1,-0.0014585965891666898,-0.0014585965891666898,0.0,-3.1321633394241335,fused,0.004440468965981468,0.562027420247256,-3.132506310261279
1780907443.9785302,-371,-516,-56,-60,-0.08168140899333462,-0.08751579535000138,-0.03070729661403559,-3.095193439292908,fused,0.08901400911766506,0.5640864966449918,-3.1019954560511485
1780907444.4788864,-494,-632,-123,-116,-0.17940738046750285,-0.16919720434333602,0.05373776907456227,3.1292053564654747,fused,0.26328520062010674,0.567379056455176,3.1397775828392263
1780907445.128378,-653,-791,-159,-159,-0.23191685767750367,-0.23191685767750367,0.0,-3.1093991334915163,fused,0.49518096026036557,0.5705072405729662,-3.1127999925764005
1780907445.7787688,-687,-825,-34,-34,-0.04959228403166745,-0.04959228403166745,0.0,-3.11546712474823,fused,0.5447543671111295,0.5718754396397002,-3.115200411531047
1780907446.4793758,-686,-825,1,0,0.0014585965891666898,0.0,-0.007676824153508894,-3.1190273101806643,fused,0.5440252838848648,0.5718577294262164,-3.1194123027310536
1780907446.9785964,-645,-888,41,-63,0.05980246015583428,-0.09189158511750145,-0.7983897119649249,2.196473489628927,fused,0.5584513942543324,0.5648352423447537,2.213364469914395
1780907447.4787033,-636,-907,9,-19,0.013127369302500205,-0.0277133351941671,-0.214951076298249,1.700882325993673,fused,0.5612994986100508,0.5581213834076628,1.7306354327559204
1780907447.9784935,-638,-911,-2,-4,-0.0029171931783333795,-0.005834386356666759,-0.015353648307017787,1.5645846232043663,fused,0.561668152666815,0.5537611505840868,1.5796543393288198
1780907449.3785691,-642,-913,-4,-2,-0.005834386356666759,-0.0029171931783333795,0.015353648307017787,1.573173175679342,fused,0.5616975103697212,0.5493854592998851,1.575356656874991
1780907449.9285007,-730,-1000,-88,-87,-0.1283564998466687,-0.126897903257502,0.007676824153508916,1.5768112047778526,fused,0.5624120553274459,0.4217602580208274,1.5774334324029171
1780907450.3785167,-848,-1114,-118,-114,-0.17211439752166938,-0.16628001116500263,0.03070729661403552,1.5594211920367638,fused,0.5624233851569868,0.25256305405682694,1.5642931457347826
1780907450.8284402,-957,-1226,-109,-112,-0.15898702821916919,-0.16336281798666924,-0.023030472460526603,1.5755297049151817,fused,0.5620046123923189,0.09138867499302072,1.5721030017510893
1780907451.2796788,-978,-1247,-21,-21,-0.030630528372500482,-0.030630528372500482,0.0,1.5734006270038048,fused,0.5620625226283433,0.06075820136326565,1.5732708644785331
1780907451.7013998,-1013,-1282,-35,-35,-0.05105088062083414,-0.05105088062083414,0.0,1.5726584299670616,fused,0.5621747804712448,0.009707444166732651,1.5727196734182085
1780907452.279265,-1013,-1283,0,-1,0.0,-0.0014585965891666898,-0.007676824153508894,1.5587815149890343,fused,0.5621713289589761,0.008978154039591721,1.5594076484166006
1780907452.7297008,-1008,-1288,5,-5,0.007292982945833449,-0.007292982945833449,-0.07676824153508893,1.4631394251452843,fused,0.5621713289589761,0.008978154039591721,1.465089423318907
1780907453.1932874,-968,-1346,40,-58,0.05834386356666759,-0.08459860217166801,-0.7523287670438716,0.7062271301269529,fused,0.5560534303636973,-0.0026364549328235388,0.7068804827417612
1780907453.6161444,-958,-1368,10,-22,0.014585965891666898,-0.03208912496166717,-0.2456583729122846,0.23804718894958476,fused,0.5483055145824904,-0.006705846214668893,0.26036468103757393
1780907454.070386,-953,-1376,5,-8,0.007292982945833449,-0.011668772713333518,-0.09979871399561561,0.07595569534301738,fused,0.5461500498008013,-0.007081153551710333,0.08441672251291132
1780907454.5220032,-951,-1380,2,-4,0.0029171931783333795,-0.005834386356666759,-0.04606094492105336,0.01996786041259746,fused,0.5446935099701465,-0.007158585661620183,0.021806652130523574
1780907455.729012,-952,-1383,-1,-3,-0.0014585965891666898,-0.004375789767500069,-0.015353648307017787,0.019082373809814257,fused,0.5417768893549917,-0.00721638035833652,0.017819436811183476
1780907456.1787212,-1013,-1446,-61,-63,-0.08897439193916808,-0.09189158511750145,-0.01535364830701776,0.035324997138976855,fused,0.4513719999680378,-0.009470574027601758,0.03203907627549585
1780907456.6285672,-1124,-1553,-111,-107,-0.16190422139750255,-0.1560698350408358,0.03070729661403552,0.0019326869964597648,fused,0.2924168526178401,-0.012654325406061432,0.008014055585766844
1780907457.2292097,-1208,-1639,-84,-86,-0.12252211349000193,-0.12543930666833533,-0.015353648307017905,0.02397651119232158,fused,0.16844904931668814,-0.014443240278758611,0.02084490080096435
1780907457.7081409,-1305,-1737,-97,-98,-0.1414838691491689,-0.14294246573833558,-0.00767682415350877,0.04912394924163799,fused,0.026314188099614055,-0.019161949973982597,0.04552836198221977
1780907458.1221828,-1353,-1780,-48,-43,-0.07001263628000111,-0.06271965333416767,0.03838412076754444,-0.013524585533142286,fused,-0.040037498933422636,-0.020547159136833408,-0.0037808787048514425
1780907458.5785182,-1352,-1781,1,-1,0.0014585965891666898,-0.0014585965891666898,-0.015353648307017787,-0.044397645759582716,fused,-0.040037498933422636,-0.020547159136833408,-0.041871333884811346
1780907459.0289626,-1310,-1836,42,-55,0.061261056745000965,-0.08022281240416794,-0.7446519428903627,-0.9211023982048037,fused,-0.048469824029870615,-0.01621323044714535,-0.9076444860618409
1780907459.4785647,-1300,-1861,10,-25,0.014585965891666898,-0.03646491472916724,-0.2686888453728113,-1.3684742684841156,fused,-0.05315256481222594,-0.006326671929452975,-1.349260174779169
1780907459.928478,-1293,-1870,7,-9,0.010210176124166827,-0.013127369302500205,-0.12282918645614227,-1.4966741736412048,fused,-0.05336917666373212,-0.004884249205104887,-1.4942156924006156
1780907460.3785124,-1290,-1880,3,-10,0.004375789767500069,-0.014585965891666898,-0.09979871399561561,-1.5744472976207733,fused,-0.053550300230386705,0.0002176248011039007,-1.576404008498319
